"Subject"	"Script"	"Condition"	"Gender"	"Sex"	"Race"	"Subset"	"mapping"	"laptop"	"Date"	"Time"	"Block"	"Trial"	"TrialType"	"CueType"	"ProbeType"	"BlackPrime"	"BlackTarget"	"GunTarget"	"WhitePrime"	"ToolTarget"	"Probe.ACC"	"Probe.RT"	"feedbackmask"	"Note"	"CueClass"	"ProbeClass"	"Probe"
"20"	"Scherer_2015_GT"	"GunTool"	"NULL"	"F"	"NULL"	"Inconvenience"	"RightGun"	"heavy"	"5/8/2015"	"12:13:34"	"RunProc"	"99"	"WhiteTool"	"whiteface2.bmp"	"TOOL4.bmp"	"NULL"	"NULL"	"NULL"	"whiteface2.bmp"	"TOOL4.bmp"	1	446	"fast"	NA	"white"	"TOOL"	"Other"
"20"	"Scherer_2015_GT"	"GunTool"	"NULL"	"F"	"NULL"	"Inconvenience"	"RightGun"	"heavy"	"5/8/2015"	"12:13:34"	"RunProc"	"100"	"BlackGun"	"BlackFace4.bmp"	"WEAPON4dk.bmp"	"BlackFace4.bmp"	"NULL"	"WEAPON4dk.bmp"	"NULL"	"NULL"	1	473	"fast"	NA	"Black"	"WEAP"	"Gun"
"20"	"Scherer_2015_GT"	"GunTool"	"NULL"	"F"	"NULL"	"Inconvenience"	"RightGun"	"heavy"	"5/8/2015"	"12:13:34"	"RunProc"	"101"	"WhiteTool"	"whiteface4.bmp"	"TOOL1.bmp"	"NULL"	"NULL"	"NULL"	"whiteface4.bmp"	"TOOL1.bmp"	1	409	"fast"	NA	"white"	"TOOL"	"Other"
"20"	"Scherer_2015_GT"	"GunTool"	"NULL"	"F"	"NULL"	"Inconvenience"	"RightGun"	"heavy"	"5/8/2015"	"12:13:34"	"RunProc"	"102"	"BlackGun"	"BlackFace3.bmp"	"WEAPON4dk.bmp"	"BlackFace3.bmp"	"NULL"	"WEAPON4dk.bmp"	"NULL"	"NULL"	1	347	"fast"	NA	"Black"	"WEAP"	"Gun"
"20"	"Scherer_2015_GT"	"GunTool"	"NULL"	"F"	"NULL"	"Inconvenience"	"RightGun"	"heavy"	"5/8/2015"	"12:13:34"	"RunProc"	"103"	"WhiteTool"	"whiteface1.bmp"	"TOOL3.bmp"	"NULL"	"NULL"	"NULL"	"whiteface1.bmp"	"TOOL3.bmp"	1	396	"fast"	NA	"white"	"TOOL"	"Other"
"20"	"Scherer_2015_GT"	"GunTool"	"NULL"	"F"	"NULL"	"Inconvenience"	"RightGun"	"heavy"	"5/8/2015"	"12:13:34"	"RunProc"	"104"	"WhiteGun"	"whiteface2.bmp"	"WEAPON3dk.bmp"	"NULL"	"NULL"	"WEAPON3dk.bmp"	"whiteface2.bmp"	"NULL"	1	370	"fast"	NA	"white"	"WEAP"	"Gun"
"20"	"Scherer_2015_GT"	"GunTool"	"NULL"	"F"	"NULL"	"Inconvenience"	"RightGun"	"heavy"	"5/8/2015"	"12:13:34"	"RunProc"	"105"	"BlackGun"	"BlackFace1.bmp"	"WEAPON1dk.bmp"	"BlackFace1.bmp"	"NULL"	"WEAPON1dk.bmp"	"NULL"	"NULL"	1	396	"fast"	NA	"Black"	"WEAP"	"Gun"
"20"	"Scherer_2015_GT"	"GunTool"	"NULL"	"F"	"NULL"	"Inconvenience"	"RightGun"	"heavy"	"5/8/2015"	"12:13:34"	"RunProc"	"106"	"WhiteTool"	"whiteface3.bmp"	"TOOL4.bmp"	"NULL"	"NULL"	"NULL"	"whiteface3.bmp"	"TOOL4.bmp"	1	406	"fast"	NA	"white"	"TOOL"	"Other"
"20"	"Scherer_2015_GT"	"GunTool"	"NULL"	"F"	"NULL"	"Inconvenience"	"RightGun"	"heavy"	"5/8/2015"	"12:13:34"	"RunProc"	"107"	"WhiteGun"	"whiteface4.bmp"	"WEAPON2dk.bmp"	"NULL"	"NULL"	"WEAPON2dk.bmp"	"whiteface4.bmp"	"NULL"	1	432	"fast"	NA	"white"	"WEAP"	"Gun"
"20"	"Scherer_2015_GT"	"GunTool"	"NULL"	"F"	"NULL"	"Inconvenience"	"RightGun"	"heavy"	"5/8/2015"	"12:13:34"	"RunProc"	"108"	"WhiteGun"	"whiteface2.bmp"	"WEAPON3dk.bmp"	"NULL"	"NULL"	"WEAPON3dk.bmp"	"whiteface2.bmp"	"NULL"	1	440	"fast"	NA	"white"	"WEAP"	"Gun"
"20"	"Scherer_2015_GT"	"GunTool"	"NULL"	"F"	"NULL"	"Inconvenience"	"RightGun"	"heavy"	"5/8/2015"	"12:13:34"	"RunProc"	"109"	"BlackGun"	"BlackFace2.bmp"	"WEAPON1dk.bmp"	"BlackFace2.bmp"	"NULL"	"WEAPON1dk.bmp"	"NULL"	"NULL"	1	445	"fast"	NA	"Black"	"WEAP"	"Gun"
"20"	"Scherer_2015_GT"	"GunTool"	"NULL"	"F"	"NULL"	"Inconvenience"	"RightGun"	"heavy"	"5/8/2015"	"12:13:34"	"RunProc"	"110"	"BlackGun"	"BlackFace4.bmp"	"WEAPON2dk.bmp"	"BlackFace4.bmp"	"NULL"	"WEAPON2dk.bmp"	"NULL"	"NULL"	1	386	"fast"	NA	"Black"	"WEAP"	"Gun"
"20"	"Scherer_2015_GT"	"GunTool"	"NULL"	"F"	"NULL"	"Inconvenience"	"RightGun"	"heavy"	"5/8/2015"	"12:13:34"	"RunProc"	"111"	"BlackTool"	"BlackFace3.bmp"	"TOOL2.bmp"	"BlackFace3.bmp"	"NULL"	"NULL"	"NULL"	"TOOL2.bmp"	1	395	"fast"	NA	"Black"	"TOOL"	"Other"
"20"	"Scherer_2015_GT"	"GunTool"	"NULL"	"F"	"NULL"	"Inconvenience"	"RightGun"	"heavy"	"5/8/2015"	"12:13:34"	"RunProc"	"112"	"WhiteGun"	"whiteface3.bmp"	"WEAPON4dk.bmp"	"NULL"	"NULL"	"WEAPON4dk.bmp"	"whiteface3.bmp"	"NULL"	1	415	"fast"	NA	"white"	"WEAP"	"Gun"
"20"	"Scherer_2015_GT"	"GunTool"	"NULL"	"F"	"NULL"	"Inconvenience"	"RightGun"	"heavy"	"5/8/2015"	"12:13:34"	"RunProc"	"113"	"BlackGun"	"BlackFace3.bmp"	"WEAPON4dk.bmp"	"BlackFace3.bmp"	"NULL"	"WEAPON4dk.bmp"	"NULL"	"NULL"	1	384	"fast"	NA	"Black"	"WEAP"	"Gun"
"20"	"Scherer_2015_GT"	"GunTool"	"NULL"	"F"	"NULL"	"Inconvenience"	"RightGun"	"heavy"	"5/8/2015"	"12:13:34"	"RunProc"	"114"	"BlackTool"	"BlackFace4.bmp"	"TOOL1.bmp"	"BlackFace4.bmp"	"NULL"	"NULL"	"NULL"	"TOOL1.bmp"	1	494	"fast"	NA	"Black"	"TOOL"	"Other"
"20"	"Scherer_2015_GT"	"GunTool"	"NULL"	"F"	"NULL"	"Inconvenience"	"RightGun"	"heavy"	"5/8/2015"	"12:13:34"	"RunProc"	"115"	"BlackGun"	"BlackFace2.bmp"	"WEAPON2dk.bmp"	"BlackFace2.bmp"	"NULL"	"WEAPON2dk.bmp"	"NULL"	"NULL"	1	455	"fast"	NA	"Black"	"WEAP"	"Gun"
